policy_id,field,class,display_class,count,field_total,proportion
5,action_type,communication,Communication,367,650,0.5646153846153846
5,action_type,direct intervention,Direct intervention,156,650,0.24
5,action_type,observed effect,Observed effect,127,650,0.19538461538461538
5,interaction_mode,communication,Communication,340,650,0.5230769230769231
5,interaction_mode,material_action,Material action,55,650,0.08461538461538462
5,interaction_mode,market_or_economic_state,Market/economic state,124,650,0.19076923076923077
5,interaction_mode,institutional_action,Institutional action,75,650,0.11538461538461539
5,interaction_mode,other,Other mode,21,650,0.03230769230769231
5,interaction_mode,intent_or_plan,Intent/plan,17,650,0.026153846153846153
5,interaction_mode,legal_or_enforcement_action,Legal/enforcement,9,650,0.013846153846153847
5,interaction_mode,request_or_pressure,Request/pressure,9,650,0.013846153846153847
5,financial_action_family,cameo_01_make_public_statement,Public statement,312,650,0.48
5,financial_action_family,market_price_or_liquidity_effect,Market/liquidity effect,112,650,0.1723076923076923
5,financial_action_family,other_financial_event,Other financial event,23,650,0.03538461538461538
5,financial_action_family,legislative_policy_authorization,Legislative authorization,6,650,0.009230769230769232
5,financial_action_family,business_operations_adjustment,Business operations,10,650,0.015384615384615385
5,financial_action_family,cameo_07_provide_aid_or_public_support,Aid/public support,25,650,0.038461538461538464
5,financial_action_family,macroeconomic_real_activity_effect,Macro real-activity effect,3,650,0.004615384615384616
5,financial_action_family,cameo_17_coerce_or_financial_regulation,Cameo 17 Coerce Or Financial Regulation,38,650,0.05846153846153846
5,financial_action_family,__other_families__,Other families,121,650,0.18615384615384614
6,action_type,communication,Communication,1605,3259,0.4924823565510893
6,action_type,direct intervention,Direct intervention,1209,3259,0.37097269100951213
6,action_type,observed effect,Observed effect,445,3259,0.1365449524393986
6,interaction_mode,communication,Communication,1425,3259,0.4372506903958269
6,interaction_mode,material_action,Material action,771,3259,0.23657563669837373
6,interaction_mode,market_or_economic_state,Market/economic state,436,3259,0.13378336913163547
6,interaction_mode,institutional_action,Institutional action,311,3259,0.09542804541270328
6,interaction_mode,other,Other mode,95,3259,0.029150046026388463
6,interaction_mode,intent_or_plan,Intent/plan,81,3259,0.024854249769868057
6,interaction_mode,legal_or_enforcement_action,Legal/enforcement,48,3259,0.01472844430806996
6,interaction_mode,request_or_pressure,Request/pressure,92,3259,0.02822951825713409
6,financial_action_family,cameo_01_make_public_statement,Public statement,1439,3259,0.44154648665234736
6,financial_action_family,market_price_or_liquidity_effect,Market/liquidity effect,193,3259,0.0592206198220313
6,financial_action_family,other_financial_event,Other financial event,99,3259,0.030377416385394294
6,financial_action_family,legislative_policy_authorization,Legislative authorization,43,3259,0.013194231359312672
6,financial_action_family,business_operations_adjustment,Business operations,185,3259,0.05676587910401964
6,financial_action_family,cameo_07_provide_aid_or_public_support,Aid/public support,225,3259,0.06903958269407794
6,financial_action_family,macroeconomic_real_activity_effect,Macro real-activity effect,80,3259,0.0245474071801166
6,financial_action_family,cameo_17_coerce_or_financial_regulation,Cameo 17 Coerce Or Financial Regulation,57,3259,0.017490027615833077
6,financial_action_family,__other_families__,Other families,938,3259,0.28781834918686716
7,action_type,communication,Communication,1303,2839,0.4589644240929905
7,action_type,direct intervention,Direct intervention,1030,2839,0.3628038041563931
7,action_type,observed effect,Observed effect,506,2839,0.1782317717506164
7,interaction_mode,communication,Communication,1153,2839,0.40612891863332157
7,interaction_mode,material_action,Material action,671,2839,0.2363508277562522
7,interaction_mode,market_or_economic_state,Market/economic state,499,2839,0.1757661148291652
7,interaction_mode,institutional_action,Institutional action,264,2839,0.09299048960901726
7,interaction_mode,other,Other mode,87,2839,0.03064459316660796
7,interaction_mode,intent_or_plan,Intent/plan,69,2839,0.02430433251144769
7,interaction_mode,legal_or_enforcement_action,Legal/enforcement,22,2839,0.007749207467418105
7,interaction_mode,request_or_pressure,Request/pressure,74,2839,0.02606551602676999
7,financial_action_family,cameo_01_make_public_statement,Public statement,1190,2839,0.41916167664670656
7,financial_action_family,market_price_or_liquidity_effect,Market/liquidity effect,256,2839,0.09017259598450159
7,financial_action_family,other_financial_event,Other financial event,93,2839,0.03275801338499472
7,financial_action_family,legislative_policy_authorization,Legislative authorization,47,2839,0.01655512504402959
7,financial_action_family,business_operations_adjustment,Business operations,107,2839,0.03768932722789715
7,financial_action_family,cameo_07_provide_aid_or_public_support,Aid/public support,232,2839,0.08171891511095457
7,financial_action_family,macroeconomic_real_activity_effect,Macro real-activity effect,116,2839,0.040859457555477284
