field,category,label,p10,q25,median,q75,p90
action_type,communication,Communication,0.43400181160397044,0.4522255824115171,0.5007082152974505,0.5960577419922662,0.6359671256578473
action_type,direct intervention,Direct intervention,0.18930908009516256,0.22396625114016416,0.3202774735973213,0.3679937510098954,0.4183059476972923
action_type,observed effect,Observed effect,0.048843862268809414,0.08814439039697956,0.16919383691618534,0.22446202174744248,0.33731086076265643
interaction_mode,communication,Communication,0.3916666666666667,0.4171923135039456,0.46551724137931033,0.5083839796567069,0.5232834279814146
interaction_mode,material_action,Material action,0.09471562431902375,0.13986179867986798,0.1881765727961184,0.26601658096919156,0.3066731620330483
interaction_mode,market_or_economic_state,Market/economic state,0.040134228187919466,0.07711046798558063,0.15151779899289947,0.19514031876763516,0.3215492041193666
interaction_mode,institutional_action,Institutional action,0.03371953471196455,0.04622362326299537,0.07410333219577755,0.09971120795927542,0.13594259425081506
interaction_mode,other,Other mode,0.021937223829051736,0.030568215844616886,0.044881841843310594,0.06624423963133641,0.07971674917221258
interaction_mode,intent_or_plan,Intent/plan,0.0,0.0003412192902638763,0.005861186493078218,0.0158665851973859,0.024579291140657874
interaction_mode,legal_or_enforcement_action,Legal/enforcement,0.004385712458429266,0.008245043616177637,0.015984911809207393,0.026074128682446265,0.07069176785117523
interaction_mode,request_or_pressure,Request/pressure,0.0,0.0021925762911318755,0.007545710734313177,0.016852150847653097,0.026121763248987087
financial_action_family,cameo_01_make_public_statement,Public statement,0.3751524089580607,0.40460999928010943,0.4441625990684706,0.5118936120758019,0.5486569587551708
financial_action_family,market_price_or_liquidity_effect,Market/liquidity effect,0.01872093023255814,0.04758135700013623,0.09482451788753875,0.16026442307692307,0.22395707740535326
financial_action_family,other_financial_event,Other financial event,0.030813708192697145,0.041680146071689614,0.06241221780333831,0.07527499517552323,0.089641506689936
financial_action_family,legislative_policy_authorization,Legislative authorization,0.0034965034965034965,0.009851221599011313,0.016758672776448102,0.06725668764378197,0.1273737259807641
financial_action_family,business_operations_adjustment,Business operations,0.010589558072825014,0.016777188328912465,0.024225049640409717,0.05054881049622652,0.07131728496149664
financial_action_family,cameo_07_provide_aid_or_public_support,Aid/public support,0.004083333333333333,0.009156126975733004,0.017119273224577514,0.03826299267527032,0.0644507199732861
financial_action_family,macroeconomic_real_activity_effect,Macro real-activity effect,0.0,0.008051973116570547,0.016517638933019524,0.038020177632326894,0.04715657311669129
financial_action_family,cameo_17_coerce_or_financial_regulation,Cameo 17 Coerce Or Financial Regulation,0.006700827994073515,0.01411973295825987,0.022997459531579383,0.06471252973830294,0.1078750180243341
financial_action_family,__other_families__,Other families,0.11574901409956138,0.15339264472640762,0.19444500821984534,0.23318621269440942,0.2764770242802812
