policy_id,action_rows,news_rows,linked_news_rows,origin_news_count,actions_per_news_row,actions_per_origin_news
5,650,47,47,144,13.829787234042554,4.513888888888889
6,3259,271,298,625,12.025830258302584,5.2144
7,2839,225,252,559,12.617777777777778,5.07871198568873
8,286,19,19,45,15.052631578947368,6.355555555555555
10,191,17,17,35,11.235294117647058,5.457142857142857
12,32,3,3,8,10.666666666666666,4.0
13,404,88,88,217,4.590909090909091,1.8617511520737327
14,299,78,78,167,3.8333333333333335,1.7904191616766467
15,1297,272,272,531,4.768382352941177,2.4425612052730696
16,235,45,45,90,5.222222222222222,2.611111111111111
18,116,45,45,91,2.577777777777778,1.2747252747252746
19,58,14,14,30,4.142857142857143,1.9333333333333333
20,191,54,54,109,3.537037037037037,1.7522935779816513
21,353,98,98,488,3.6020408163265305,0.7233606557377049
22,714,222,222,433,3.2162162162162162,1.6489607390300232
23,31,13,13,34,2.3846153846153846,0.9117647058823529
24,402,143,143,340,2.8111888111888113,1.1823529411764706
25,183,56,56,143,3.267857142857143,1.2797202797202798
26,172,63,63,163,2.7301587301587302,1.0552147239263803
27,1298,524,524,941,2.4770992366412212,1.3793836344314558
28,149,49,49,91,3.0408163265306123,1.6373626373626373
29,1354,293,297,736,4.621160409556314,1.8396739130434783
30,720,174,178,387,4.137931034482759,1.8604651162790697
31,1444,568,568,1269,2.5422535211267605,1.1379038613081167
32,1952,511,511,1377,3.8199608610567513,1.4175744371822803
33,2198,377,377,994,5.8302387267904505,2.211267605633803
34,3398,545,550,1876,6.234862385321101,1.8113006396588487
35,5044,823,829,2405,6.128797083839611,2.097297297297297
36,250,63,63,227,3.9682539682539684,1.1013215859030836
37,479,90,92,278,5.322222222222222,1.723021582733813
38,558,121,122,245,4.6115702479338845,2.2775510204081635
39,3909,642,642,1636,6.088785046728972,2.389364303178484
40,5623,1079,1079,2413,5.211306765523633,2.3302942395358475
41,1681,360,360,838,4.669444444444444,2.0059665871121717
42,17670,3595,3595,8291,4.9151599443671765,2.1312266312869377
43,6292,1140,1140,2462,5.519298245614035,2.5556458164094233
