policy_id,observed_news_days,keyword_count,origin_news_total,raw_mean_per_observed_day,raw_p10_per_observed_day,raw_q25_per_observed_day,raw_median_per_observed_day,raw_q75_per_observed_day,raw_p90_per_observed_day,raw_p95_per_observed_day,raw_maximum_per_observed_day,mean_per_keyword_day,p10_per_keyword_day,q25_per_keyword_day,median_per_keyword_day,q75_per_keyword_day,p90_per_keyword_day,p95_per_keyword_day,maximum_per_keyword_day,fraction_per_keyword_at_or_below_cap
5,22,13,144,6.545454545454546,2.0,2.0,3.5,6.0,15.800000000000004,17.9,37,0.5034965034965034,0.15384615384615385,0.15384615384615385,0.2692307692307693,0.46153846153846156,1.2153846153846157,1.3769230769230767,2.8461538461538463,1.0
6,196,6,625,3.188775510204082,2.0,2.0,2.0,4.0,6.0,6.25,18,0.5314625850340136,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.0416666666666667,3.0,1.0
7,160,6,559,3.49375,2.0,2.0,2.0,4.0,6.0,9.049999999999983,14,0.5822916666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.5083333333333304,2.3333333333333335,1.0
8,17,5,45,2.6470588235294117,2.0,2.0,2.0,2.0,4.800000000000001,6.399999999999999,8,0.5294117647058824,0.4,0.4,0.4,0.4,0.9600000000000002,1.2799999999999998,1.6,1.0
10,17,6,35,2.0588235294117645,2.0,2.0,2.0,2.0,2.0,2.3999999999999986,4,0.3431372549019608,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.39999999999999974,0.6666666666666666,1.0
12,3,5,8,2.6666666666666665,2.0,2.0,2.0,3.0,3.6,3.8,4,0.5333333333333333,0.4,0.4,0.4,0.6000000000000001,0.7200000000000001,0.76,0.8,1.0
13,79,5,217,2.7468354430379747,2.0,2.0,2.0,2.0,4.0,8.0,18,0.549367088607595,0.4,0.4,0.4,0.4,0.8,1.6,3.6,1.0
14,61,5,167,2.737704918032787,2.0,2.0,2.0,4.0,5.0,6.0,8,0.5475409836065573,0.4,0.4,0.4,0.8,1.0,1.2,1.6,1.0
15,132,5,531,4.0227272727272725,2.0,2.0,4.0,6.0,8.0,10.0,12,0.8045454545454546,0.4,0.4,0.8,1.2,1.6,2.0,2.4,1.0
16,35,5,90,2.5714285714285716,2.0,2.0,2.0,2.0,4.0,4.299999999999997,8,0.5142857142857142,0.4,0.4,0.4,0.4,0.8,0.8599999999999994,1.6,1.0
18,31,5,91,2.935483870967742,2.0,2.0,2.0,2.5,6.0,6.0,12,0.5870967741935483,0.4,0.4,0.4,0.5,1.2,1.2,2.4,1.0
19,13,5,30,2.3076923076923075,2.0,2.0,2.0,2.0,3.6000000000000014,4.0,4,0.46153846153846156,0.4,0.4,0.4,0.4,0.7200000000000003,0.8,0.8,1.0
20,45,4,109,2.422222222222222,1.4000000000000004,2.0,2.0,2.0,4.0,4.0,8,0.6055555555555555,0.3500000000000001,0.5,0.5,0.5,1.0,1.0,2.0,1.0
